Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments
01/25/2025,"The HELLACIOUS HAMSTRINGS Vlog || Heavy Hamstrings, Fast Hamstrings, Volume, & Overload!",https://www.youtube.com/watch?v=NNHhpQLUH1I,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1801,3037,187,36
01/25/2025,What it’s like to be a creator in your 40s,https://www.youtube.com/watch?v=rjg8v20tRSU,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.2906,3366,198,78
01/17/2025,"How to Become a Leg Day FREAK (The 6 Pillars to Insane Strength, Aesthetics, & Explosive Power)",https://www.youtube.com/watch?v=yzzuB_Xhyys,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0111,140573,796,76
01/16/2025,"INSANE CALISTHENICS GAINS Vlog || Strength, Hypertrophy, & Muscular Endurance!",https://www.youtube.com/watch?v=huCwzCLJK1I,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1659,3394,223,34
01/16/2025,It's hard to vlog when you're in a funk,https://www.youtube.com/watch?v=-SC4uVEMyB8,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.485,2569,216,103
01/11/2025,RitFit Buffalo Smith Machine Review: The Budget Beast You Need in Your Home Gym!,https://www.youtube.com/watch?v=N4hDIDWtEig,Maguire’s Gym ,,,5,14.00,1950,其他,Suspected,0.0097,12669,23,10
01/10/2025,Is RitFit's Attachment the Best Hack Squat for Your Home Gym?? FIND OUT!,https://www.youtube.com/watch?v=rPPE4rmECrA,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.1999,4653,150,78
01/09/2025,Use Ritfit M1 Smith Machine Built Dream Garage & Home Gym,https://www.youtube.com/watch?v=0tdoxYjNp2M,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.0009,17424,15,0
01/09/2025,"RitFit PLC01 Leg Extension Curl Machine, the ultimate secret to shaping perfect legs.",https://www.youtube.com/watch?v=C0NZbqguYjM,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Suspected,0.0006,22178,14,0
01/07/2025,Get Fit at Home: Complete DIY Gym Build Tutorial with RitFit Equipment,https://www.youtube.com/watch?v=R9GrkL8Kow8,Create 208,"Home,DIY,Life Style,Vehicle","house,shop,home,building,how to",198,14.00,78800,其他,Suspected,0.0479,8837,283,14
